givens,proportion,inside,outside,level,level-dev,variables,variables-dev,used,used-dev,original,original-dev,conflicts,conflicts-dev,learned,learned-dev,limit,limit-dev,agility,agility-dev,memory,memory-dev
30,0.90,27.00,3.00,158.45,3.62,2328.15,37.13,35.14,1.53,335.91,4.30,26.94,14.00,12.25,2.62,1000.00,0.00,0.70,0.20,2.20,0.00
30,0.95,29.00,1.00,162.24,3.04,2346.30,24.24,34.55,1.25,335.05,3.27,22.61,12.38,12.48,2.42,1000.00,0.00,0.70,0.18,2.20,0.00
30,1.00,30.00,0.00,164.66,2.69,2367.54,23.19,33.79,1.16,335.65,3.01,20.52,11.06,12.25,2.13,1000.00,0.00,0.68,0.16,2.20,0.00
40,0.00,0.00,40.00,110.82,12.89,2303.38,14.68,42.58,4.94,364.99,0.13,75.70,96.14,75.33,92.28,1037.38,75.77,3.68,2.44,2.25,0.05
40,0.05,2.00,38.00,112.25,12.74,2288.80,15.52,41.69,4.35,363.00,0.05,60.65,73.74,60.59,73.71,1026.22,59.59,3.17,2.22,2.25,0.05
40,0.10,4.00,36.00,111.11,13.76,2271.28,15.93,42.56,4.07,360.98,0.27,63.87,67.59,63.48,67.51,1027.27,57.49,3.39,2.16,2.26,0.05
40,0.15,6.00,34.00,111.78,12.41,2261.18,17.78,41.71,3.53,358.90,0.56,49.34,54.50,48.54,54.36,1016.44,44.62,2.84,1.90,2.26,0.05
40,0.20,8.00,32.00,111.41,12.30,2248.03,22.98,41.75,3.25,356.65,1.35,45.57,47.60,42.99,47.23,1012.72,38.88,2.60,1.75,2.25,0.05
40,0.25,10.00,30.00,114.18,11.49,2233.06,26.52,41.58,3.02,354.43,1.57,38.56,35.11,34.22,34.48,1006.81,27.37,2.23,1.48,2.25,0.05
40,0.30,12.00,28.00,112.63,11.57,2223.29,32.63,41.16,2.76,351.92,2.42,37.71,32.09,31.17,30.26,1005.54,23.93,2.05,1.40,2.25,0.05
40,0.35,14.00,26.00,116.90,10.12,2196.12,44.89,41.62,2.65,347.97,3.91,37.90,26.92,24.86,22.65,1002.74,16.85,1.70,1.14,2.25,0.05
40,0.40,16.00,24.00,117.73,8.78,2173.33,52.36,41.35,2.56,344.59,4.77,39.68,24.31,19.06,17.10,1001.45,12.11,1.32,0.94,2.24,0.05
40,0.45,18.00,22.00,121.24,9.07,2142.45,61.89,42.19,2.53,339.80,6.22,44.76,25.63,18.62,17.77,1001.87,13.97,1.22,0.88,2.25,0.05
40,0.50,20.00,20.00,125.22,7.32,2130.41,58.64,41.88,2.34,336.67,5.80,44.40,22.90,15.11,13.66,1001.10,10.80,0.98,0.67,2.24,0.05
